5339404,original,ID,5339404,title,Asynchronous TMR processing system,date,"August 16, 1994",inventor_name,"Vandling, III; Gilbert C.",inventor_city,Endicott,inventor_country,NY
5339404,reference,ID,5226152,title,Functional lockstep arrangement for redundant processors,date,"July 6, 1993",inventor_name,Klug; Keith M.,inventor_city,Mesa,inventor_country,AZ,inventor_name,Tugenberg; Steven R.,inventor_city,Scottsdale,inventor_country,AZ
5339404,referenced_by,ID,10210084,title,Multi-leveled cache management in a hybrid storage system,date,"February 19, 2019",inventor_name,Bruce; Rolando H.,inventor_city,South San Francisco,inventor_country,CA,inventor_name,Dela Cruz; Elmer Paule,inventor_city,Pasay,inventor_country,PH,inventor_name,Arcedera; Mark Ian Alcid,inventor_city,Metro Manila,inventor_country,PH
5339404,referenced_by,ID,10180887,title,Adaptive power cycle sequences for data recovery,date,"January 15, 2019",inventor_name,Bruce; Rolando H.,inventor_city,South San Francisco,inventor_country,CA,inventor_name,Cantong; Richard A.,inventor_city,Cabuyao Laguna,inventor_country,PH,inventor_name,Fuentes; Marizonne O.,inventor_city,Leyte,inventor_country,PH
5339404,referenced_by,ID,10149399,title,Solid state drive with improved enclosure assembly,date,"December 4, 2018",inventor_name,"Mangay-Ayam, Jr.; Rogelio Gazmen",inventor_city,Imus Cavite,inventor_country,PH,inventor_name,Esguerra; Elbert Castro,inventor_city,Makati,inventor_country,PH,inventor_name,Parazo; Jerico Alge,inventor_city,Quezon,inventor_country,PH,inventor_name,Galvez; Christopher Dayego,inventor_city,Valenzuela,inventor_country,PH,inventor_name,Cruz; Allan Famitanco,inventor_city,Santa Ana Metro Manila,inventor_country,PH
5339404,referenced_by,ID,10133686,title,Multilevel memory bus system,date,"November 20, 2018",inventor_name,Bruce; Ricardo H.,inventor_city,Fremont,inventor_country,CA,inventor_name,Villapana; Elsbeth Lauren Tagayo,inventor_city,Cambridge,inventor_country,GB,inventor_name,Baylon; Joel Alonzo,inventor_city,Cavite,inventor_country,PH
5339404,referenced_by,ID,10120694,title,Embedded system boot from a storage device,date,"November 6, 2018",inventor_name,Manlapat; Alvin Anonuevo,inventor_city,San Fernando,inventor_country,PH,inventor_name,Beleno; Ian Victor Pasion,inventor_city,Quezon,inventor_country,PH
5339404,referenced_by,ID,10120586,title,Memory transaction with reduced latency,date,"November 6, 2018",inventor_name,Bruce; Rey H.,inventor_city,San Jose,inventor_country,CA,inventor_name,Bruce; Ricardo H.,inventor_city,Fremont,inventor_country,CA,inventor_name,Tagayo-Villapana; Elsbeth Lauren,inventor_city,Cambridge,inventor_country,GB
5339404,referenced_by,ID,10082966,title,Electronic storage device,date,"September 25, 2018",inventor_name,Bruce; Rolando H.,inventor_city,South San Francisco,inventor_country,CA,inventor_name,Lanuza; Reyjan C.,inventor_city,Imus Cavite,inventor_country,PH,inventor_name,Lukban; Jose Miguel N.,inventor_city,Penang,inventor_country,MY,inventor_name,Arcedera; Mark Ian A.,inventor_city,Paranaque,inventor_country,PH,inventor_name,Chong; Ryan C.,inventor_city,Quezon,inventor_country,PH
5339404,referenced_by,ID,10078604,title,Interrupt coalescing,date,"September 18, 2018",inventor_name,Cristobal; Arnaldo,inventor_city,Bocaue,inventor_country,PH,inventor_name,Verdan; Marlon,inventor_city,Paranaque,inventor_country,PH
5339404,referenced_by,ID,10055150,title,Writing volatile scattered memory metadata to flash device,date,"August 21, 2018",inventor_name,Fenol; Marvin Dela Cruz,inventor_city,Bacood Santa Mesa Manila,inventor_country,PH,inventor_name,Abad; Jik-Jik Oyong,inventor_city,Pasay,inventor_country,PH,inventor_name,Pestano; Precious Nezaiah Umali,inventor_city,Quezon,inventor_country,PH
5339404,referenced_by,ID,10042799,title,Bit-mapped DMA transfer with dependency table configured to monitor status so that a processor is not rendered as a bottleneck in a system,date,"August 7, 2018",inventor_name,Ponce; Cyrill C.,inventor_city,Malabon,inventor_country,PH,inventor_name,Fuentes; Marizonne O.,inventor_city,Tanauan,inventor_country,PH,inventor_name,Noble; Gianico G.,inventor_city,San Pedro,inventor_country,PH
5339404,referenced_by,ID,10042792,title,Method for transferring and receiving frames across PCI express bus for SSD device,date,"August 7, 2018",inventor_name,Ricaborda; Amor Leo Saing,inventor_city,Taguig,inventor_country,PH,inventor_name,Abitria; Alain Vincent Villaranda,inventor_city,Taguig,inventor_country,PH,inventor_name,Orcullo; Rose Fay M.,inventor_city,Taguig,inventor_country,PH
5339404,referenced_by,ID,10025736,title,Exchange message protocol message transmission between two devices,date,"July 17, 2018",inventor_name,Ricaborda; Amor Leo Saing,inventor_city,Taguig,inventor_country,PH,inventor_name,Abitria; Alain Vincent Villaranda,inventor_city,Taguig,inventor_country,PH,inventor_name,Orcullo; Rose Fay M.,inventor_city,Taguig,inventor_country,PH
5339404,referenced_by,ID,10013373,title,Multi-level message passing descriptor,date,"July 3, 2018",inventor_name,Bruce; Ricardo H.,inventor_city,Fremont,inventor_country,CA,inventor_name,Chiw; Bernard Sherwin Leung,inventor_city,Quezon,inventor_country,PH,inventor_name,Somera; Margaret Anne Nadonga,inventor_city,Caloocan,inventor_country,PH
5339404,referenced_by,ID,9996419,title,Storage system with distributed ECC capability,date,"June 12, 2018",inventor_name,Bruce; Rey H.,inventor_city,San Jose,inventor_country,CA,inventor_name,Climaco; Joey B.,inventor_city,Bislig,inventor_country,PH,inventor_name,Mateo; Noeme P.,inventor_city,Pasig,inventor_country,PH
5339404,referenced_by,ID,9977077,title,Self-test solution for delay locked loops,date,"May 22, 2018",inventor_name,Raffinan; Edzel Gerald Dela Cruz,inventor_city,Mandaluyong,inventor_country,PH
5339404,referenced_by,ID,9952991,title,Systematic method on queuing of descriptors for multiple flash intelligent DMA engine operation,date,"April 24, 2018",inventor_name,Bruce; Ricardo H.,inventor_city,Fremont,inventor_country,CA,inventor_name,Verdan; Marlon B.,inventor_city,Paranaque,inventor_country,PH,inventor_name,Jago-on; Rowenah Michelle,inventor_city,Cagayan de Oro,inventor_country,PH
5339404,referenced_by,ID,9934160,title,Bit-mapped DMA and IOC transfer with dependency table comprising plurality of index fields in the cache for DMA transfer,date,"April 3, 2018",inventor_name,Ponce; Cyrill C.,inventor_city,Malabon,inventor_country,PH,inventor_name,Fuentes; Marizonne Operio,inventor_city,Leyte,inventor_country,PH,inventor_name,Noble; Gianico Geonzon,inventor_city,Laguna,inventor_country,PH
5339404,referenced_by,ID,9934045,title,Embedded system boot from a storage device,date,"April 3, 2018",inventor_name,Manlapat; Alvin Anonuevo,inventor_city,San Fernando,inventor_country,PH,inventor_name,Beleno; Ian Victor Pasion,inventor_city,Quezon,inventor_country,PH
5339404,referenced_by,ID,9916213,title,Bus arbitration with routing and failover mechanism,date,"March 13, 2018",inventor_name,Bruce; Ricardo H.,inventor_city,Fremont,inventor_country,CA,inventor_name,Ponce; Cyrill Coronel,inventor_city,Malabon,inventor_country,PH,inventor_name,Espuerta; Jarmie De La Cruz,inventor_city,Bacolod,inventor_country,PH,inventor_name,Verdan; Marlon Basa,inventor_city,Paranaque,inventor_country,PH
5339404,referenced_by,ID,9875205,title,Network of memory systems,date,"January 23, 2018",inventor_name,Bruce; Ricardo H.,inventor_city,Fremont,inventor_country,CA,inventor_name,Espuerta; Jarmie De La Cruz,inventor_city,Bacolod,inventor_country,PH,inventor_name,Verdan; Marlon Basa,inventor_city,Paranaque,inventor_country,PH
5339404,referenced_by,ID,9842024,title,Flash electronic disk with RAID controller,date,"December 12, 2017",inventor_name,David; Raquel Bautista,inventor_city,Manila,inventor_country,PH,inventor_name,Climaco; Joey Barreto,inventor_city,Quezon,inventor_country,PH
5339404,referenced_by,ID,9798688,title,Bus arbitration with routing and failover mechanism,date,"October 24, 2017",inventor_name,Bruce; Ricardo H.,inventor_city,Fremont,inventor_country,CA,inventor_name,Ponce; Cyrill Coronel,inventor_city,Malabon,inventor_country,PH,inventor_name,Espuerta; Jarmie Dela Cruz,inventor_city,Bacolod,inventor_country,PH
5339404,referenced_by,ID,8976195,title,Generating clip state for a batch of vertices,date,"March 10, 2015",inventor_name,Lindholm; John Erik,inventor_city,Saratoga,inventor_country,CA,inventor_name,Hakura; Ziyad S.,inventor_city,Gilroy,inventor_country,CA
5339404,referenced_by,ID,8856590,title,"Reliable compute engine, method and apparatus",date,"October 7, 2014",inventor_name,Grieco; Anthony,inventor_city,Irwin,inventor_country,PA,inventor_name,Price; Ken,inventor_city,Export,inventor_country,PA,inventor_name,Driscoll; John L.,inventor_city,Jeanette,inventor_country,PA,inventor_name,Schweizer; Stephen,inventor_city,Pittsburgh,inventor_country,PA
5339404,referenced_by,ID,8564616,title,Cull before vertex attribute fetch and vertex lighting,date,"October 22, 2013",inventor_name,Hakura; Ziyad S.,inventor_city,Gilory,inventor_country,CA,inventor_name,Lindholm; John Erik,inventor_city,Saratoga,inventor_country,CA,inventor_name,Kilgariff; Emmett M.,inventor_city,San Jose,inventor_country,CA,inventor_name,Ohannessian; Robert,inventor_city,Austin,inventor_country,TX,inventor_name,Whitman; Scott R.,inventor_city,Saratoga,inventor_country,CA,inventor_name,Bowman; James C.,inventor_city,Pescadero,inventor_country,CA,inventor_name,Brown; Patrick R.,inventor_city,Raleigh,inventor_country,NC,inventor_name,Cunniff; Ross A.,inventor_city,Fort Collins,inventor_country,CO
5339404,referenced_by,ID,8542247,title,Cull before vertex attribute fetch and vertex lighting,date,"September 24, 2013",inventor_name,Hakura; Ziyad S.,inventor_city,Mountain View,inventor_country,CA,inventor_name,Lindholm; John Erik,inventor_city,Saratoga,inventor_country,CA,inventor_name,Kilgariff; Emmett M.,inventor_city,San Jose,inventor_country,CA,inventor_name,Ohannessian; Robert,inventor_city,Austin,inventor_country,TX,inventor_name,Whitman; Scott R.,inventor_city,Saratoga,inventor_country,CA,inventor_name,Bowman; James C.,inventor_city,Pescadero,inventor_country,CA,inventor_name,Brown; Patrick R.,inventor_city,Raleigh,inventor_country,NC,inventor_name,Cunniff; Ross A.,inventor_city,Fort Collins,inventor_country,CO
5339404,referenced_by,ID,8384736,title,Generating clip state for a batch of vertices,date,"February 26, 2013",inventor_name,Lindholm; John Erik,inventor_city,Saratoga,inventor_country,CA,inventor_name,Hakura; Ziyad S.,inventor_city,Gilroy,inventor_country,CA
5339404,referenced_by,ID,8214625,title,Systems and methods for voting among parallel threads,date,"July 3, 2012",inventor_name,Nickolls; John R.,inventor_city,Los Altos,inventor_country,CA,inventor_name,Nyland; Lars,inventor_city,Carrboro,inventor_country,NC,inventor_name,Mills; Peter C.,inventor_city,San Jose,inventor_country,CA,inventor_name,Sugerman; Jeremy,inventor_city,Palo Alto,inventor_country,CA,inventor_name,Foley; Timothy,inventor_city,Pleasant Hill,inventor_country,CA,inventor_name,Fahs; Brian,inventor_city,Los Altos,inventor_country,CA,inventor_name,Garland; Michael,inventor_city,Lake Elmo,inventor_country,MN,inventor_name,Luebke; David P.,inventor_city,Charlottesville,inventor_country,VA
5339404,referenced_by,ID,8205201,title,Process for maintaining execution synchronization between several asynchronous processors working in parallel and in a redundant manner,date,"June 19, 2012",inventor_name,Ple; Christophe,inventor_city,Perthes,inventor_country,FR
5339404,referenced_by,ID,8200947,title,Systems and methods for voting among parallel threads,date,"June 12, 2012",inventor_name,Nickolls; John R.,inventor_city,Los Altos,inventor_country,CA,inventor_name,Nyland; Lars,inventor_city,Carrboro,inventor_country,NC,inventor_name,Mills; Peter C.,inventor_city,San Jose,inventor_country,CA,inventor_name,Sugerman; Jeremy,inventor_city,Palo Alto,inventor_country,CA,inventor_name,Foley; Timothy,inventor_city,Pleasant Hill,inventor_country,CA,inventor_name,Fahs; Brian,inventor_city,Los Altos,inventor_country,CA,inventor_name,Garland; Michael,inventor_city,Lake Elmo,inventor_country,MN,inventor_name,Luebke; David P.,inventor_city,Charlottesville,inventor_country,VA
5339404,referenced_by,ID,7917675,title,Method and apparatus for interconnecting modules,date,"March 29, 2011",inventor_name,Murphy; Kenneth John,inventor_city,Henderson,inventor_country,NV,inventor_name,"Murphy, legal representative; Linda",inventor_city,Henderson,inventor_country,NV,inventor_name,Meagher; Thomas Bruce,inventor_city,Houston,inventor_country,TX,inventor_name,Agar; Philip John,inventor_city,Danbury,inventor_country,GB,inventor_name,Jones; Ian David Wynne,inventor_city,West Mersea,inventor_country,GB,inventor_name,Creech; Gerald Robert,inventor_city,Danbury,inventor_country,GB
5339404,referenced_by,ID,7908520,title,Self-testing and -repairing fault-tolerance infrastructure for computer systems,date,"March 15, 2011",inventor_name,Avizienis; Algirdas,inventor_city,Santa Monica,inventor_country,CA
5339404,referenced_by,ID,7890799,title,Self-correcting computer,date,"February 15, 2011",inventor_name,Hillman; Robert A.,inventor_city,San Diego,inventor_country,CA,inventor_name,Conrad; Mark Steven,inventor_city,San Diego,inventor_country,CA
5339404,referenced_by,ID,7613948,title,Cache coherency during resynchronization of self-correcting computer,date,"November 3, 2009",inventor_name,Hillman; Robert A.,inventor_city,San Diego,inventor_country,CA,inventor_name,Conrad; Mark Steven,inventor_city,San Diego,inventor_country,CA
5339404,referenced_by,ID,7467326,title,Self-correcting computer,date,"December 16, 2008",inventor_name,Hillman; Robert Allen,inventor_city,San Diego,inventor_country,CA,inventor_name,Conrad; Mark Steven,inventor_city,San Diego,inventor_country,CA
5339404,referenced_by,ID,7434098,title,Method and system of determining whether a user program has made a system level call,date,"October 7, 2008",inventor_name,Bernick; David L.,inventor_city,Ben Lomond,inventor_country,CA,inventor_name,Bruckert; William F.,inventor_city,Los Gatos,inventor_country,CA,inventor_name,Garcia; David J.,inventor_city,Los Gatos,inventor_country,CA,inventor_name,Jardine; Robert L.,inventor_city,Cupertino,inventor_country,CA,inventor_name,Mehra; Pankaj,inventor_city,San Jose,inventor_country,CA,inventor_name,Smullen; James R.,inventor_city,Carmel,inventor_country,CA
5339404,referenced_by,ID,7392426,title,Redundant processing architecture for single fault tolerance,date,"June 24, 2008",inventor_name,Wolfe; Jeffrey M.,inventor_city,Bradenton,inventor_country,FL,inventor_name,Copenhaver; Jason L.,inventor_city,Sarasota,inventor_country,FL,inventor_name,Ramos; Jeremy,inventor_city,Clearwater,inventor_country,FL
5339404,referenced_by,ID,7289889,title,Vehicle control system and method,date,"October 30, 2007",inventor_name,Naik; Sanjeev M.,inventor_city,Troy,inventor_country,MI,inventor_name,Mishra; Pradyumna K.,inventor_city,Royal Oak,inventor_country,MI,inventor_name,Howell; Mark N.,inventor_city,Rochester Hills,inventor_country,MI,inventor_name,Debouk; Rami I.,inventor_city,Dearborn,inventor_country,MI,inventor_name,Salman; Mutasim A.,inventor_city,Rochester Hills,inventor_country,MI
5339404,referenced_by,ID,7260740,title,Fault-tolerant computer cluster and a method for operating a cluster of this type,date,"August 21, 2007",inventor_name,Kaiser; Oliver,inventor_city,Worth,inventor_country,DE
5339404,referenced_by,ID,7236005,title,Majority voter circuit design,date,"June 26, 2007",inventor_name,Yee; Yibin,inventor_city,Portland,inventor_country,OR,inventor_name,Tschanz; James W.,inventor_city,Portland,inventor_country,OR,inventor_name,Khellah; Muhammad M.,inventor_city,Lake Oswege,inventor_country,OR,inventor_name,De; Vivek K.,inventor_city,Beaverton,inventor_country,OR
5339404,referenced_by,ID,7155704,title,Determinism in a multiprocessor computer system and monitor and processor therefor,date,"December 26, 2006",inventor_name,Williams; Emrys J.,inventor_city,Sunnyvale,inventor_country,CA
5339404,referenced_by,ID,7047440,title,Dual/triple redundant computer system,date,"May 16, 2006",inventor_name,Freydel; Lev R.,inventor_city,Akron,inventor_country,OH,inventor_name,Ida; Nathan,inventor_city,Akron,inventor_country,OH
5339404,referenced_by,ID,6732300,title,Hybrid triple redundant computer system,date,"May 4, 2004",inventor_name,Freydel; Lev,inventor_city,Akron,inventor_country,OH
5339404,referenced_by,ID,6574744,title,Method of determining a uniform global view of the system status of a distributed computer network,date,"June 3, 2003",inventor_name,Kantz; Heinz,inventor_city,Vienna,inventor_country,AT,inventor_name,Scheck; Oliver,inventor_city,Vienna,inventor_country,AT,inventor_name,Metzner; Peter,inventor_city,Vienna,inventor_country,AT
5339404,referenced_by,ID,6550018,title,Hybrid multiple redundant computer system,date,"April 15, 2003",inventor_name,Abonamah; Abdullah A.,inventor_city,Stow,inventor_country,OH,inventor_name,Freydel; Lev,inventor_city,Akron,inventor_country,OH
5339404,referenced_by,ID,6542929,title,Relaxed quorum determination for a quorum based operation,date,"April 1, 2003",inventor_name,Briskey; Kenneth C.,inventor_city,Hyde Park,inventor_country,NY,inventor_name,Novaes; Marcos N.,inventor_city,Hopewell Junction,inventor_country,NY
5339404,referenced_by,ID,6526432,title,Relaxed quorum determination for a quorum based operation of a distributed computing system,date,"February 25, 2003",inventor_name,Briskey; Kenneth C.,inventor_city,Hyde Park,inventor_country,NY,inventor_name,Novaes; Marcos N.,inventor_city,Hopewell Junction,inventor_country,NY
5339404,referenced_by,ID,6490693,title,Dynamic reconfiguration of a quorum group of processors in a distributed computing system,date,"December 3, 2002",inventor_name,Briskey; Kenneth C.,inventor_city,Hyde Park,inventor_country,NY,inventor_name,Novaes; Marcos N.,inventor_city,Hopewell Junction,inventor_country,NY
5339404,referenced_by,ID,6487678,title,Recovery procedure for a dynamically reconfigured quorum group of processors in a distributed computing system,date,"November 26, 2002",inventor_name,Briskey; Kenneth C.,inventor_city,Hyde Park,inventor_country,NY,inventor_name,Novaes; Marcos N.,inventor_city,Hopewell Junction,inventor_country,NY
5339404,referenced_by,ID,6327668,title,Determinism in a multiprocessor computer system and monitor and processor therefor,date,"December 4, 2001",inventor_name,Williams; Emrys J.,inventor_city,Sunnyvale,inventor_country,CA
5339404,referenced_by,ID,6216236,title,Processing unit for a computer and a computer system incorporating such a processing unit,date,"April 10, 2001",inventor_name,Miyao; Takeshi,inventor_city,Hitachioota,inventor_country,JP,inventor_name,Araoka; Manabu,inventor_city,Hitachi,inventor_country,JP,inventor_name,Nakamura; Tomoaki,inventor_city,Katsuta,inventor_country,JP,inventor_name,Tanji; Masayuki,inventor_city,Hitachi,inventor_country,JP,inventor_name,Kaneko; Shigenori,inventor_city,Nakaminato,inventor_country,JP,inventor_name,Masui; Koji,inventor_city,Hitachi,inventor_country,JP,inventor_name,Iijima; Saburou,inventor_city,Mito,inventor_country,JP,inventor_name,Kanekawa; Nobuyasu,inventor_city,Hitachi,inventor_country,JP,inventor_name,Kanekawa; Shinichiro,inventor_city,Hitachi,inventor_country,JP,inventor_name,Kobayashi; Yoshiki,inventor_city,Hitachi,inventor_country,JP,inventor_name,Fukumaru; Hiroaki,inventor_city,Hitachi,inventor_country,JP,inventor_name,Tagiri; Katsunori,inventor_city,Hitachi,inventor_country,JP
5339404,referenced_by,ID,6205565,title,Fault resilient/fault tolerant computing,date,"March 20, 2001",inventor_name,Bissett; Thomas D.,inventor_city,Northborough,inventor_country,MA,inventor_name,"Fitzgerald, V; Martin J.",inventor_city,Medway,inventor_country,MA,inventor_name,Leveille; Paul A.,inventor_city,Grafton,inventor_country,MA,inventor_name,McCollum; James D.,inventor_city,Whitinsville,inventor_country,MA,inventor_name,Muench; Erik,inventor_city,Groveland,inventor_country,MA,inventor_name,Tremblay; Glenn A.,inventor_city,Upton,inventor_country,MA
5339404,referenced_by,ID,6185646,title,Method and apparatus for transferring data on a synchronous multi-drop,date,"February 6, 2001",inventor_name,Barrett; Wayne Melvin,inventor_city,Rochester,inventor_country,MN,inventor_name,Bartley; Gerald Keith,inventor_city,Rochester,inventor_country,MN,inventor_name,Baska; Douglas A.,inventor_city,Oronoco,inventor_country,MN,inventor_name,Dahlen; Paul Eric,inventor_city,Rochester,inventor_country,MN,inventor_name,Drehmel; Robert Allen,inventor_city,Goodhue,inventor_country,MN,inventor_name,Hinz; Kenneth Claude,inventor_city,Rochester,inventor_country,MN,inventor_name,Marcella; James Anthony,inventor_city,Rochester,inventor_country,MN
5339404,referenced_by,ID,6038685,title,Fault resilient/fault tolerant computing,date,"March 14, 2000",inventor_name,Bissett; Thomas Dale,inventor_city,Northborough,inventor_country,MA,inventor_name,Fiorentino; Richard D.,inventor_city,Carlisle,inventor_country,MA,inventor_name,Glorioso; Robert M.,inventor_city,Stow,inventor_country,MA,inventor_name,McCauley; Diane T.,inventor_city,Hopkinton,inventor_country,MA,inventor_name,McCollum; James D.,inventor_city,Whitinsville,inventor_country,MA,inventor_name,Tremblay; Glenn A.,inventor_city,Upton,inventor_country,MA,inventor_name,Troiani; Mario,inventor_city,Newton,inventor_country,MA
5339404,referenced_by,ID,5956474,title,Fault resilient/fault tolerant computing,date,"September 21, 1999",inventor_name,Bissett; Thomas Dale,inventor_city,Northborough,inventor_country,MA,inventor_name,Fiorentino; Richard D.,inventor_city,Carlisle,inventor_country,MA,inventor_name,Glorioso; Robert M.,inventor_city,Stow,inventor_country,MA,inventor_name,McCauley; Diane T.,inventor_city,Hopkinton,inventor_country,MA,inventor_name,McCollum; James D.,inventor_city,Whitinsville,inventor_country,MA,inventor_name,Tremblay; Glenn A.,inventor_city,Upton,inventor_country,MA,inventor_name,Troiani; Mario,inventor_city,Newton,inventor_country,MA
5339404,referenced_by,ID,5903717,title,Fault tolerant computer system,date,"May 11, 1999",inventor_name,Wardrop; Andrew J.,inventor_city,Lakeville,inventor_country,MN
5339404,referenced_by,ID,5901281,title,Processing unit for a computer and a computer system incorporating such a processing unit,date,"May 4, 1999",inventor_name,Miyao; Takeshi,inventor_city,Hitachioota,inventor_country,JP,inventor_name,Araoka; Manabu,inventor_city,Hitachi,inventor_country,JP,inventor_name,Nakamura; Tomoaki,inventor_city,Katsuta,inventor_country,JP,inventor_name,Tanji; Masayuki,inventor_city,Hitachi,inventor_country,JP,inventor_name,Kaneko; Shigenori,inventor_city,Nakaminato,inventor_country,JP,inventor_name,Masui; Koji,inventor_city,Hatachi,inventor_country,JP,inventor_name,Iijima; Saburou,inventor_city,Mito,inventor_country,JP,inventor_name,Kanekawa; Nobuyasu,inventor_city,Hitachi,inventor_country,JP,inventor_name,Kanekawa; Shinichiro,inventor_city,Hitachi,inventor_country,JP,inventor_name,Kobayashi; Yoshiki,inventor_city,Hitachi,inventor_country,JP,inventor_name,Fukumaru; Hiroaki,inventor_city,Hitachi,inventor_country,JP,inventor_name,Tagiri; Katsunori,inventor_city,Hitachi,inventor_country,JP
5339404,referenced_by,ID,5896523,title,"Loosely-coupled, synchronized execution",date,"April 20, 1999",inventor_name,Bissett; Thomas D.,inventor_city,Northborough,inventor_country,MA,inventor_name,Leveille; Paul A.,inventor_city,Grafton,inventor_country,MA,inventor_name,Muench; Erik,inventor_city,Groveland,inventor_country,MA,inventor_name,Tremblay; Glenn A.,inventor_city,Upton,inventor_country,MA
5339404,referenced_by,ID,5812757,title,"Processing board, a computer, and a fault recovery method for the computer",date,"September 22, 1998",inventor_name,Okamoto; Hiromu,inventor_city,Kanagawa,inventor_country,JP,inventor_name,Tanabe; Takashi,inventor_city,Kanagawa,inventor_country,JP,inventor_name,Abe; Kaoru,inventor_city,Kanagawa,inventor_country,JP,inventor_name,Ohno; Tsugihiko,inventor_city,Kanagawa,inventor_country,JP,inventor_name,Hatashita; Toyohito,inventor_city,Kanagawa,inventor_country,JP,inventor_name,Kamemaru; Toshihisa,inventor_city,Kanagawa,inventor_country,JP,inventor_name,Kaneda; Norihisa,inventor_city,Kanagawa,inventor_country,JP,inventor_name,Katoh; Mamoru,inventor_city,Kanagawa,inventor_country,JP,inventor_name,Soga; Masakazu,inventor_city,Kanagawa,inventor_country,JP
5339404,referenced_by,ID,5790397,title,Fault resilient/fault tolerant computing,date,"August 4, 1998",inventor_name,Bissett; Thomas D.,inventor_city,Northborough,inventor_country,MA,inventor_name,"Fitzgerald, V; Martin J.",inventor_city,Medway,inventor_country,MA,inventor_name,Leveille; Paul A.,inventor_city,Grafton,inventor_country,MA,inventor_name,McCollum; James D.,inventor_city,Whitinsville,inventor_country,MA,inventor_name,Muench; Erik,inventor_city,Groveland,inventor_country,MA,inventor_name,Tremblay; Glenn A.,inventor_city,Upton,inventor_country,MA
